BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 200, 'rcond': 0.2, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - Exception fit() got an unexpected keyword argument 'min_improvement_tolerance'
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3722872548738658, 'precision': 0.24966042926333143, 'recall': 0.086035404024535, 'map': 0.1682585338440859, 'NDCG': 0.1306004491631239, 'MRR': 0.4307256593212187}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.37264903382334474, 'precision': 0.2508123907499925, 'recall': 0.08621541847043124, 'map': 0.16906296864109124, 'NDCG': 0.13110462928769023, 'MRR': 0.43187451643405633}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.37319826919219273, 'precision': 0.2508697022667422, 'recall': 0.08629340404799668, 'map': 0.1692571910034079, 'NDCG': 0.13112794973561437, 'MRR': 0.4322628019600316}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3724794872529635, 'precision': 0.25068343983730684, 'recall': 0.0862528010172356, 'map': 0.16893847529081849, 'NDCG': 0.13107778442221482, 'MRR': 0.4317169097629954}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.2, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.36544927453171905, 'precision': 0.24313264750557712, 'recall': 0.08133169309487866, 'map': 0.16440133344799418, 'NDCG': 0.12654049492020258, 'MRR': 0.420780678377301}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.25000000000000006, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3191487329378838, 'precision': 0.20676849012812895, 'recall': 0.0625204238354886, 'map': 0.13741465757962915, 'NDCG': 0.1019617503995942, 'MRR': 0.3623651985366413}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.07, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.2884046861716861, 'precision': 0.15902513110010363, 'recall': 0.044500423000830104, 'map': 0.10219452165579447, 'NDCG': 0.06279037569755591, 'MRR': 0.31157310561558305}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.37514805475160323, 'precision': 0.24899848124487534, 'recall': 0.0862641420246455, 'map': 0.1680358587016811, 'NDCG': 0.12467477646999142, 'MRR': 0.43298349428315863}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.23000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.33109102024051906, 'precision': 0.21565177522427395, 'recall': 0.06527866044468916, 'map': 0.1447728951549746, 'NDCG': 0.10740981104427873, 'MRR': 0.37872787536654845}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.3749391065134529, 'precision': 0.24847408086661832, 'recall': 0.0862503271983802, 'map': 0.16765788526875341, 'NDCG': 0.12458951955909213, 'MRR': 0.4329713155858504}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.19, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3650421239648126, 'precision': 0.24272000458498202, 'recall': 0.08132108526077295, 'map': 0.16411795983740013, 'NDCG': 0.12655209093228434, 'MRR': 0.4208301095604976}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.29000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.2918959127336632, 'precision': 0.1883829555549495, 'recall': 0.056904724876048855, 'map': 0.12221722338438357, 'NDCG': 0.09172619304410246, 'MRR': 0.32977954169890955}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.3725129189710669, 'precision': 0.248763504026205, 'recall': 0.08575443457563892, 'map': 0.16758326487795275, 'NDCG': 0.13033797259027372, 'MRR': 0.43011123210206914}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.37555281733864343, 'precision': 0.24843396280489435, 'recall': 0.08616484880563689, 'map': 0.1676551430718741, 'NDCG': 0.12454361488140103, 'MRR': 0.4330150156173713}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.37494746444297894, 'precision': 0.24850560220083065, 'recall': 0.08626989721118214, 'map': 0.16765496795335205, 'NDCG': 0.12460320086629435, 'MRR': 0.4329555549187439}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3719183119847924, 'precision': 0.2502622001891993, 'recall': 0.08606804133569294, 'map': 0.16859256446753895, 'NDCG': 0.13092407480193527, 'MRR': 0.43089735507348026}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.37554087743932324, 'precision': 0.2488838582113777, 'recall': 0.08606153685831336, 'map': 0.167835081334636, 'NDCG': 0.1246989008875999, 'MRR': 0.43306778997237727}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.17000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3697965918751371, 'precision': 0.24736510301751727, 'recall': 0.08281612144285794, 'map': 0.16729994698688805, 'NDCG': 0.1290181668131572, 'MRR': 0.42632222445098317}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3717356315251537, 'precision': 0.24966902599084476, 'recall': 0.08598465152191201, 'map': 0.16812293240747592, 'NDCG': 0.13056894839781802, 'MRR': 0.43026692838923725}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.17000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3694730206034912, 'precision': 0.24725907671153097, 'recall': 0.08274906051483712, 'map': 0.16715143055917897, 'NDCG': 0.12890121307606123, 'MRR': 0.4258942984592545}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.29000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.29141712277082027, 'precision': 0.18803622087861607, 'recall': 0.05693585078237158, 'map': 0.12199131252926329, 'NDCG': 0.09157462737797552, 'MRR': 0.32921430686496983}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.11000000000000001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3744985242284431, 'precision': 0.23941599564438618, 'recall': 0.08199594147602335, 'map': 0.16243805978232023, 'NDCG': 0.11253480459388679, 'MRR': 0.426818685464825}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.19, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.36557583746454025, 'precision': 0.24300656216872918, 'recall': 0.08150056806710988, 'map': 0.16438082468092402, 'NDCG': 0.12668964496678325, 'MRR': 0.4212895568864384}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.37319826919219273, 'precision': 0.2508697022667422, 'recall': 0.08629340404799668, 'map': 0.1692571910034079, 'NDCG': 0.13112794973561437, 'MRR': 0.4322628019600316}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.13, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.37529491551327043, 'precision': 0.2484597529874312, 'recall': 0.08624956111492152, 'map': 0.16769751379460504, 'NDCG': 0.12461245102430761, 'MRR': 0.4331673687327298}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.11000000000000001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'one'} - results: {'AUC': 0.37453314993647846, 'precision': 0.23917815284987534, 'recall': 0.08220131148951286, 'map': 0.16237692351782013, 'NDCG': 0.11239099368385785, 'MRR': 0.4271515698579437}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.22023263699840376, 'precision': 0.11257701235059193, 'recall': 0.026794394899828582, 'map': 0.07062203293501394, 'NDCG': 0.03957825870464499, 'MRR': 0.23015111136585667}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.11000000000000001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.37490209282555187, 'precision': 0.2392125397599256, 'recall': 0.08216554650689145, 'map': 0.16234980004652583, 'NDCG': 0.11254592723824557, 'MRR': 0.4269853664593712}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.21000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3605730196482998, 'precision': 0.2382067226409707, 'recall': 0.0796740956974041, 'map': 0.1607628441477362, 'NDCG': 0.12335766693469694, 'MRR': 0.41470398601597436}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.19, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.36525823614255615, 'precision': 0.24328452302496278, 'recall': 0.08129516640861999, 'map': 0.1645475653749661, 'NDCG': 0.1266413427156192, 'MRR': 0.42104622173823847}
GridSearch: Best config is: Config {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'}, map value is 0.1693
best_parameters: {'pseudoInv': True, 'epochs': 0, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'}BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 21, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.37222039143766056, 'precision': 0.2503624953435108, 'recall': 0.08615025507588198, 'map': 0.16867113298504935, 'NDCG': 0.13090492094099712, 'MRR': 0.4312180607692899}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 12, 'rcond': 0.15000000000000002, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3721045744142274, 'precision': 0.25048284952868416, 'recall': 0.08614305839317837, 'map': 0.16879878244870913, 'NDCG': 0.13086185207502896, 'MRR': 0.4312056432739939}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 17, 'rcond': 0.20000000000000004, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'random'} - results: {'AUC': 0.3650863015923056, 'precision': 0.24321574920486352, 'recall': 0.08137321934547384, 'map': 0.16442851661878521, 'NDCG': 0.12667736157034204, 'MRR': 0.4210595944254803}
BayesianSearch: Testing config: {'pseudoInv': True, 'epochs': 1, 'rcond': 0.25000000000000006, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'initialize': 'zero'} - results: {'AUC': 0.3174652071333744, 'precision': 0.2064074275726088, 'recall': 0.06221647591372379, 'map': 0.13697433001247097, 'NDCG': 0.10150051822479272, 'MRR': 0.3607939077857651}
