BayesianSearch: New best config found. Config: {'topK': 200, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.16000000000000003, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3313392107472706, 'precision': 0.21962216624681363, 'recall': 0.05259973583697558, 'map': 0.14627424433248853, 'NDCG': 0.08202866261086642, 'MRR': 0.38165477190035674, 'F1': 0.08487243561299512, 'HR': 1.098110831234257, 'ARHR': 0.5258711167086975}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3410754268122036, 'precision': 0.22870696893362658, 'recall': 0.05751706781361886, 'map': 0.1526147495102104, 'NDCG': 0.0929411289431279, 'MRR': 0.39363630002798455, 'F1': 0.09191788635990032, 'HR': 1.143534844668346, 'ARHR': 0.5457122865939511}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 2, 'rcond': 0.14, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.33317240414217686, 'precision': 0.2224769101594904, 'recall': 0.05402081784560818, 'map': 0.1488082843548779, 'NDCG': 0.08648583700648116, 'MRR': 0.38422614049817483, 'F1': 0.08693297211004894, 'HR': 1.112384550797649, 'ARHR': 0.5318408900084465}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.33382311782815577, 'precision': 0.21820319059609708, 'recall': 0.054536131341628186, 'map': 0.14465021223994118, 'NDCG': 0.09095087999447046, 'MRR': 0.3826007556674996, 'F1': 0.08726250235547776, 'HR': 1.0910159529806884, 'ARHR': 0.5230191715645569}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.34226490344248517, 'precision': 0.22712846347602794, 'recall': 0.058235490562796595, 'map': 0.1509519194887526, 'NDCG': 0.09301021569470301, 'MRR': 0.3943506856982909, 'F1': 0.09270223028589768, 'HR': 1.1356423173803527, 'ARHR': 0.5424657150854153}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': True, 'epochs': 5, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3426532325776649, 'precision': 0.22525608732153646, 'recall': 0.05789206589865501, 'map': 0.15037854510681362, 'NDCG': 0.09263641785787227, 'MRR': 0.393867898124823, 'F1': 0.09211107402950666, 'HR': 1.1262804366078925, 'ARHR': 0.541351105513626}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 2, 'rcond': 0.1, 'lambda_2': 1e-05, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.34250979568989626, 'precision': 0.22732997481104047, 'recall': 0.058193816210035124, 'map': 0.1512929027894338, 'NDCG': 0.09360520951570343, 'MRR': 0.3951406381192256, 'F1': 0.09266617486322956, 'HR': 1.1366498740554156, 'ARHR': 0.5437055695494518}
BayesianSearch: New best config found. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.34205149734116985, 'precision': 0.2274895046179253, 'recall': 0.058328225752530584, 'map': 0.1514939360014869, 'NDCG': 0.09348998409470374, 'MRR': 0.39510495382031713, 'F1': 0.09284979741800706, 'HR': 1.1374475230898404, 'ARHR': 0.5439308704170713}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3418171004757911, 'precision': 0.22845507976486115, 'recall': 0.05734406555518917, 'map': 0.15266657337437692, 'NDCG': 0.09277310785319907, 'MRR': 0.3940043380912361, 'F1': 0.09167657276078701, 'HR': 1.1422753988245171, 'ARHR': 0.5461363000280423}
BayesianSearch: Best config is: Config {'topK': 500, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'}, map value is 0.1515
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'pseudoInv': True, 'epochs': 0, 'rcond': 0.1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3406066330814453, 'precision': 0.22861460957174623, 'recall': 0.05736189607108279, 'map': 0.15254879186490788, 'NDCG': 0.09289443636480764, 'MRR': 0.3934753708368283, 'F1': 0.09171220163773974, 'HR': 1.1430730478589421, 'ARHR': 0.5455968373915999}
