BayesianSearch: New best config found. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 8, 'lambda_2': 0.001, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.25536411078355703, 'precision': 0.15520192335213373, 'recall': 0.041910524519907, 'map': 0.09066892377509267, 'NDCG': 0.06979401758588173, 'MRR': 0.26604272207754814, 'F1': 0.06599881523879107, 'HR': 0.77600961676064, 'ARHR': 0.3459355352662315}
BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 2, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3474174036654359, 'precision': 0.21852943701885713, 'recall': 0.07455391798392569, 'map': 0.14437650858165335, 'NDCG': 0.11459463068862609, 'MRR': 0.39201536964422484, 'F1': 0.1111781030650658, 'HR': 1.092647185094021, 'ARHR': 0.5291808580668887}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 2, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3560681950446979, 'precision': 0.22185523340684743, 'recall': 0.07486468581244261, 'map': 0.14873126099140987, 'NDCG': 0.11577228364857337, 'MRR': 0.40177523684134026, 'F1': 0.11195151568220016, 'HR': 1.1092761670339735, 'ARHR': 0.5438924506520624}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 0, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3314180905769084, 'precision': 0.18986519362320775, 'recall': 0.05740767412056382, 'map': 0.12711632734513156, 'NDCG': 0.09894491535251414, 'MRR': 0.3642896667525271, 'F1': 0.08815944314321894, 'HR': 0.9493259681158591, 'ARHR': 0.4786351450623254}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 8, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3120808170430373, 'precision': 0.17299293053609824, 'recall': 0.04900136522400795, 'map': 0.11589745302129797, 'NDCG': 0.08890318107677843, 'MRR': 0.3418021408740984, 'F1': 0.07637033862826073, 'HR': 0.8649646526803858, 'ARHR': 0.4422631824990106}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 10, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3483452111775759, 'precision': 0.21534388505686491, 'recall': 0.07242053812679086, 'map': 0.1418717105368059, 'NDCG': 0.11342485941420671, 'MRR': 0.39012063882766157, 'F1': 0.1083894935002356, 'HR': 1.0767194252840666, 'ARHR': 0.5234790158084783}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 3, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.3416203955465243, 'precision': 0.2076218552334525, 'recall': 0.06766955266332803, 'map': 0.13680631879054914, 'NDCG': 0.1090418415087081, 'MRR': 0.3806796607420476, 'F1': 0.10207131544073367, 'HR': 1.038109276167034, 'ARHR': 0.5076697959300238}
BayesianSearch: New best config found. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3500708377457859, 'precision': 0.21930221242742567, 'recall': 0.07258641151563104, 'map': 0.14508423808481927, 'NDCG': 0.11446810396961019, 'MRR': 0.3938366390947925, 'F1': 0.10907146994979086, 'HR': 1.0965110621368672, 'ARHR': 0.5320763807397388}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3504297966932845, 'precision': 0.22008357422942573, 'recall': 0.07605016390798339, 'map': 0.14470429415078945, 'NDCG': 0.11621534584181063, 'MRR': 0.39456147380672, 'F1': 0.11303941252270507, 'HR': 1.100417871146856, 'ARHR': 0.531064617380746}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3262042416783528, 'precision': 0.19179999427577502, 'recall': 0.06055537931939733, 'map': 0.12500673793374634, 'NDCG': 0.09999777772910048, 'MRR': 0.3595316122384714, 'F1': 0.09204893275195138, 'HR': 0.9589999713786885, 'ARHR': 0.4713732028201324}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 0.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'zero'} - results: {'AUC': 0.33123682227119466, 'precision': 0.1894988408369213, 'recall': 0.05692281756647921, 'map': 0.12730017951923817, 'NDCG': 0.09921671369104637, 'MRR': 0.36355576862531536, 'F1': 0.08754756392687679, 'HR': 0.9474942041844358, 'ARHR': 0.47858791989846844}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3491573408893611, 'precision': 0.20861215260887978, 'recall': 0.06850606170228347, 'map': 0.13841086528587138, 'NDCG': 0.10958600828263232, 'MRR': 0.387530410143383, 'F1': 0.10314152055283649, 'HR': 1.0430607630441626, 'ARHR': 0.5150722211091486}
BayesianSearch: Best config is: Config {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'}, map value is 0.1451
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'pseudoInv': False, 'epochs': 1, 'lambda_2': 100.0, 'low_ram': False, 'learning_rate': 0.01, 'sgd_mode': 'adagrad', 'batch_size': 1, 'force_positive': True, 'initialize': 'random'} - results: {'AUC': 0.3591962658729021, 'precision': 0.22088210881827808, 'recall': 0.07420149894404003, 'map': 0.1479818318275657, 'NDCG': 0.11651543964422599, 'MRR': 0.4033446387513349, 'F1': 0.11108569322792289, 'HR': 1.1044105440911303, 'ARHR': 0.5435055859259219}
